;Country Name;Country Code;Year;Fixed Telephone Lines
283;Paraguay;PRY;2016;5,61
284;Uruguay;URY;2016;33,0
285;Uruguay;URY;2017;33,6
286;Paraguay;PRY;2017;4,64
287;Chile;CHL;2017;17,2
288;Argentina;ARG;2017;22,0
289;Bolivia;BOL;2017;7,5
290;Argentina;ARG;2018;21,9
291;Bolivia;BOL;2018;6,19
292;Chile;CHL;2018;15,9
293;Paraguay;PRY;2018;4,71
294;Uruguay;URY;2018;34,0
295;Uruguay;URY;2019;34,3
296;Chile;CHL;2019;14,3
297;Paraguay;PRY;2019;4,19
298;Argentina;ARG;2019;17,2
299;Bolivia;BOL;2019;5,59
300;Argentina;ARG;2020;16,3
301;Bolivia;BOL;2020;5,06
302;Chile;CHL;2020;13,3
303;Paraguay;PRY;2020;3,77
304;Uruguay;URY;2020;35,4
305;Uruguay;URY;2021;36,4
306;Chile;CHL;2021;12,9
307;Paraguay;PRY;2021;3,05
308;Argentina;ARG;2021;16,8
309;Bolivia;BOL;2021;4,61
310;Argentina;ARG;2022;15,5
311;Bolivia;BOL;2022;3,93
312;Chile;CHL;2022;11,3
313;Paraguay;PRY;2022;2,49
314;Uruguay;URY;2022;37,1
315;Paraguay;PRY;2023;3,0
316;Argentina;ARG;2023;15,4
317;Bolivia;BOL;2023;
318;Chile;CHL;2023;10,1
319;Uruguay;URY;2023;35,6
320;Rest of Latam;;1960;2,133508294
321;Rest of Latam;;1961;2,1279063333333332
322;Rest of Latam;;1962;2,1279063333333332
323;Rest of Latam;;1963;2,1279063333333332
324;Rest of Latam;;1964;2,1279063333333332
325;Rest of Latam;;1965;2,522199172
326;Rest of Latam;;1966;2,511264333333333
327;Rest of Latam;;1967;2,5112643333333335
328;Rest of Latam;;1968;2,511264333333333
329;Rest of Latam;;1969;2,511264333333333
330;Rest of Latam;;1970;2,969074281333333
331;Rest of Latam;;1971;2,9521113333333333
332;Rest of Latam;;1972;2,9521113333333333
333;Rest of Latam;;1973;2,9521113333333333
334;Rest of Latam;;1974;2,9521113333333333
335;Rest of Latam;;1975;3,469001023
336;Rest of Latam;;1976;3,558229664666667
337;Rest of Latam;;1977;3,714124772
338;Rest of Latam;;1978;3,814326217
339;Rest of Latam;;1979;3,9475999280000003
340;Rest of Latam;;1980;3,6440546485
341;Rest of Latam;;1981;3,77750999125
342;Rest of Latam;;1982;3,896334241
343;Rest of Latam;;1983;4,09897066525
344;Rest of Latam;;1984;4,30794070675
345;Rest of Latam;;1985;4,6372494225
346;Rest of Latam;;1986;4,80514742125
347;Rest of Latam;;1987;4,88103964425
348;Rest of Latam;;1988;5,237034754750001
349;Rest of Latam;;1989;5,527901427
350;Rest of Latam;;1990;6,295
351;Rest of Latam;;1991;6,9825
352;Rest of Latam;;1992;7,6875
353;Rest of Latam;;1993;8,48
354;Rest of Latam;;1994;8,98
355;Rest of Latam;;1995;9,695
356;Rest of Latam;;1996;10,9025
357;Rest of Latam;;1997;12,715
358;Rest of Latam;;1998;14,065000000000001
359;Rest of Latam;;1999;14,8
360;Rest of Latam;;2000;15,295
361;Rest of Latam;;2001;15,69
362;Rest of Latam;;2002;15,657499999999999
363;Rest of Latam;;2003;15,227500000000001
364;Rest of Latam;;2004;15,879999999999999
365;Rest of Latam;;2005;16,145
366;Rest of Latam;;2006;15,8775
367;Rest of Latam;;2007;16,0475
368;Rest of Latam;;2008;16,1525
369;Rest of Latam;;2009;16,14
370;Rest of Latam;;2010;15,9475
371;Rest of Latam;;2011;15,8075
372;Rest of Latam;;2012;16,11
373;Rest of Latam;;2013;16,4275
374;Rest of Latam;;2014;16,4275
375;Rest of Latam;;2015;16,4
376;Rest of Latam;;2016;16,2175
377;Rest of Latam;;2017;15,735
378;Rest of Latam;;2018;15,2
379;Rest of Latam;;2019;14,594999999999999
380;Rest of Latam;;2020;14,3825
381;Rest of Latam;;2021;14,24
382;Rest of Latam;;2022;13,705
383;Rest of Latam;;2023;16,233333333333334
