,Country Name,Country Code,Year,Internet Usage (%)
163,Chile,CHL,2014,61.11
164,Uruguay,URY,2014,61.4625
165,Uruguay,URY,2015,64.5708
166,Argentina,ARG,2015,68.0431
167,Chile,CHL,2015,76.6296
168,Argentina,ARG,2016,70.969
169,Chile,CHL,2016,83.5586
170,Uruguay,URY,2016,66.4
171,Argentina,ARG,2017,74.2949
172,Chile,CHL,2017,82.3275
173,Uruguay,URY,2017,70.3224
174,Uruguay,URY,2018,80.7268
175,Argentina,ARG,2018,77.7
176,Chile,CHL,2018,84.9
177,Argentina,ARG,2019,79.947
178,Chile,CHL,2019,85.0176
179,Uruguay,URY,2019,83.3515
180,Argentina,ARG,2020,85.5144
181,Chile,CHL,2020,87.4593
182,Uruguay,URY,2020,85.471
183,Chile,CHL,2021,88.8045
184,Argentina,ARG,2021,87.1507
185,Uruguay,URY,2021,87.6444
186,Chile,CHL,2022,90.6769
187,Argentina,ARG,2022,88.3754
188,Uruguay,URY,2022,89.873
189,Chile,CHL,2023,94.1192
190,Argentina,ARG,2023,89.229
191,Uruguay,URY,2023,
